source_system,raw_sku,asset_type,object_uri,file_name,mime_type,width,height,checksum,quality_status,source_updated_at
DAM_EXPORT,SKU-100001,primary,oci://peakgear-demo-bronze/product-images/SKU-100001/velocityworks-baseball-glove-1.jpg,velocityworks-baseball-glove-1.jpg,image/jpeg,1400,1400,6c8b0d9121174fbcae3e5b9010010001,ready,2026-05-20T06:55:00Z
DAM_EXPORT,SKU-100003,primary,oci://peakgear-demo-bronze/product-images/SKU-100003/velocityworks-training-hoodie-3.jpg,velocityworks-training-hoodie-3.jpg,image/jpeg,1600,1600,6c8b0d9121174fbcae3e5b9010010003,ready,2026-05-20T06:55:12Z
DAM_EXPORT,SKU-100004,primary,oci://peakgear-demo-bronze/product-images/SKU-100004/hydrawave-bike-light-set-4.jpg,hydrawave-bike-light-set-4.jpg,image/jpeg,1200,1200,6c8b0d9121174fbcae3e5b9010010004,ready,2026-05-20T06:55:24Z
DAM_EXPORT,SKU-100007,primary,oci://peakgear-demo-bronze/product-images/SKU-100007/canyonridge-trail-runner-7.jpg,canyonridge-trail-runner-7.jpg,image/jpeg,1600,1600,6c8b0d9121174fbcae3e5b9010010007,ready,2026-05-20T06:55:42Z
DAM_EXPORT,SKU-100007,detail,oci://peakgear-demo-bronze/product-images/SKU-100007/canyonridge-trail-runner-7-sole.jpg,canyonridge-trail-runner-7-sole.jpg,image/jpeg,900,900,6c8b0d9121174fbcae3e5b9010010707,low_resolution,2026-05-20T06:55:45Z
DAM_EXPORT,SKU-100008,primary,oci://peakgear-demo-bronze/product-images/SKU-100008/velocityworks-gps-fitness-watch-8.jpg,velocityworks-gps-fitness-watch-8.jpg,image/jpeg,1400,1400,6c8b0d9121174fbcae3e5b9010010008,ready,2026-05-20T06:56:00Z
DAM_EXPORT,sku-100009,primary,oci://peakgear-demo-bronze/product-images/SKU-100009/trailforge-training-hoodie-9.jpg,trailforge-training-hoodie-9.jpg,image/jpeg,1100,900,6c8b0d9121174fbcae3e5b9010010009,needs_crop,2026-05-20T06:56:16Z
DAM_EXPORT,SKU-100011,primary,oci://peakgear-demo-bronze/product-images/SKU-100011/ironkinetic-kettlebell-11.jpg,ironkinetic-kettlebell-11.jpg,image/jpeg,1600,1600,6c8b0d9121174fbcae3e5b9010010011,ready,2026-05-20T06:56:34Z
DAM_EXPORT,SKU-100013,primary,oci://peakgear-demo-bronze/product-images/SKU-100013/peakgear-foam-roller-13.jpg,peakgear-foam-roller-13.jpg,image/jpeg,800,800,6c8b0d9121174fbcae3e5b9010010013,low_resolution,2026-05-20T06:56:50Z
DAM_EXPORT,SKU-100015,primary,oci://peakgear-demo-bronze/product-images/SKU-100015/summitpulse-outdoor-jacket-15.jpg,summitpulse-outdoor-jacket-15.jpg,image/jpeg,1600,1600,6c8b0d9121174fbcae3e5b9010010015,ready,2026-05-20T06:57:05Z
DAM_EXPORT,SKU-100016,primary,oci://peakgear-demo-bronze/product-images/SKU-100016/ironkinetic-snow-helmet-16.jpg,ironkinetic-snow-helmet-16.jpg,image/jpeg,1400,1400,6c8b0d9121174fbcae3e5b9010010016,ready,2026-05-20T06:57:19Z
DAM_EXPORT,SKU-100017,primary,oci://peakgear-demo-bronze/product-images/SKU-100017/nordcrest-running-shoe-17.jpg,nordcrest-running-shoe-17.jpg,image/jpeg,1200,1200,6c8b0d9121174fbcae3e5b9010010017,ready,2026-05-20T06:57:38Z
