item_id,order_id,product_id,quantity,unit_price,fulfilled_from
1,1,36,1,378,3
2,1,17,1,145,3
3,1,26,1,216,3
4,1,45,1,122,3
5,2,6,1,275,4
6,2,13,1,220,4
7,2,48,1,196,4
8,2,32,1,219,4
9,3,30,2,173,3
10,3,35,1,348,3
11,3,45,1,122,3
12,3,59,2,74,3
13,4,56,1,391,1
14,4,29,1,147,1
15,4,28,1,178,1
16,4,55,1,326,1
17,5,19,1,89,4
18,5,4,1,160,4
19,5,6,1,275,4
20,5,59,1,74,4
21,6,33,2,221,2
22,6,28,1,178,2
23,6,30,1,173,2
24,6,42,1,113,2
25,7,56,1,391,6
26,7,57,2,274,6
27,7,16,1,240,6
28,7,25,1,106,6
29,8,47,1,278,5
30,8,38,1,186,5
31,8,4,1,160,5
32,8,40,1,249,5
33,9,26,1,216,1
34,9,57,1,274,1
35,9,43,1,140,1
36,9,34,2,186,1
37,10,42,1,113,3
38,10,54,1,201,3
39,10,48,1,196,3
40,10,32,2,219,3
41,11,13,1,220,6
42,11,31,1,219,6
43,11,4,1,160,6
44,11,12,1,260,6
45,12,51,1,230,5
46,12,36,1,378,5
47,12,21,2,185,5
48,12,42,1,113,5
49,13,10,1,180,5
50,13,4,1,160,5
51,13,33,1,221,5
52,13,60,1,287,5
53,14,28,1,178,6
54,14,26,1,216,6
55,14,38,1,186,6
56,14,6,1,275,6
57,15,10,1,180,6
58,15,19,2,89,6
59,15,30,1,173,6
60,15,2,1,210,6
61,16,33,2,221,6
62,16,15,2,195,6
63,16,43,1,140,6
64,16,54,1,201,6
65,17,51,1,230,2
66,17,29,1,147,2
67,17,50,1,143,2
68,17,3,1,95,2
69,18,20,1,115,4
70,18,48,1,196,4
71,18,43,1,140,4
72,18,39,2,101,4
73,19,48,1,196,1
74,19,32,1,219,1
75,19,19,1,89,1
76,19,12,2,260,1
77,20,27,1,281,3
78,20,8,1,680,3
79,20,14,1,780,3
80,20,50,1,143,3
81,21,42,1,113,4
82,21,20,1,115,4
83,21,17,1,145,4
84,21,21,1,185,4
85,22,32,1,219,2
86,22,56,1,391,2
87,22,35,1,348,2
88,22,60,1,287,2
89,23,55,1,326,1
90,23,2,2,210,1
91,23,39,1,101,1
92,23,1,1,125,1
93,24,12,1,260,4
94,24,4,1,160,4
95,24,32,1,219,4
96,24,15,1,195,4
97,25,10,1,180,3
98,25,56,1,391,3
99,25,45,1,122,3
100,25,59,1,74,3
101,26,11,2,140,4
102,26,15,1,195,4
103,26,30,1,173,4
104,26,36,1,378,4
105,27,40,1,249,6
106,27,48,1,196,6
107,27,43,1,140,6
108,27,6,1,275,6
109,28,15,1,195,5
110,28,50,1,143,5
111,28,6,1,275,5
112,28,56,1,391,5
113,29,25,2,106,1
114,29,24,2,190,1
115,29,40,1,249,1
116,29,2,1,210,1
117,30,56,1,391,5
118,30,57,1,274,5
119,30,59,1,74,5
120,30,47,1,278,5
121,31,41,1,215,2
122,31,29,1,147,2
123,31,17,1,145,2
124,31,11,1,140,2
125,32,30,1,173,4
126,32,15,1,195,4
127,32,4,1,160,4
128,32,24,1,190,4
129,33,25,1,106,5
130,33,40,1,249,5
131,33,14,1,780,5
132,33,19,1,89,5
133,34,50,1,143,4
134,34,45,1,122,4
135,34,7,1,420,4
136,34,6,1,275,4
137,35,8,1,680,1
138,35,6,1,275,1
139,35,33,1,221,1
140,35,14,2,780,1
141,36,56,2,391,4
142,36,26,1,216,4
143,36,12,1,260,4
144,36,14,1,780,4
145,37,59,2,74,6
146,37,60,1,287,6
147,37,33,1,221,6
148,37,26,1,216,6
149,38,4,1,160,2
150,38,53,1,210,2
151,38,55,1,326,2
152,38,10,1,180,2
153,39,46,1,147,5
154,39,3,1,95,5
155,39,2,2,210,5
156,39,30,1,173,5
157,40,12,1,260,4
158,40,30,1,173,4
159,40,52,1,226,4
160,40,20,1,115,4
161,41,6,1,275,1
162,41,56,1,391,1
163,41,59,1,74,1
164,41,17,1,145,1
165,42,28,1,178,4
166,42,2,2,210,4
167,42,35,2,348,4
168,42,33,1,221,4
169,43,5,1,340,1
170,43,45,1,122,1
171,43,39,1,101,1
172,43,28,1,178,1
173,44,6,1,275,5
174,44,17,1,145,5
175,44,53,2,210,5
176,44,26,1,216,5
177,45,54,1,201,5
178,45,37,1,219,5
179,45,48,2,196,5
180,45,29,1,147,5
181,46,28,1,178,1
182,46,58,1,120,1
183,46,24,1,190,1
184,46,54,1,201,1
185,47,39,1,101,3
186,47,15,1,195,3
187,47,37,1,219,3
188,47,55,1,326,3
189,48,48,1,196,1
190,48,10,1,180,1
191,48,2,1,210,1
192,48,59,1,74,1
193,49,19,2,89,6
194,49,45,1,122,6
195,49,40,1,249,6
196,49,53,1,210,6
197,50,59,1,74,3
198,50,35,1,348,3
199,50,4,2,160,3
200,50,60,2,287,3
201,51,8,1,680,3
202,51,32,1,219,3
203,51,54,1,201,3
204,51,33,1,221,3
205,52,47,1,278,1
206,52,30,1,173,1
207,52,35,1,348,1
208,52,29,1,147,1
209,53,42,1,113,5
210,53,7,1,420,5
211,53,31,1,219,5
212,53,45,1,122,5
213,54,19,1,89,3
214,54,42,1,113,3
215,54,47,1,278,3
216,54,4,1,160,3
217,55,17,1,145,1
218,55,41,1,215,1
219,55,11,1,140,1
220,55,5,1,340,1
221,56,59,1,74,1
222,56,11,1,140,1
223,56,40,1,249,1
224,56,56,1,391,1
225,57,45,1,122,4
226,57,21,1,185,4
227,57,6,2,275,4
228,57,20,1,115,4
229,58,47,1,278,2
230,58,54,1,201,2
231,58,12,1,260,2
232,58,28,1,178,2
233,59,5,1,340,1
234,59,56,1,391,1
235,59,29,1,147,1
236,59,41,1,215,1
237,60,6,1,275,4
238,60,15,1,195,4
239,60,47,1,278,4
240,60,26,1,216,4
241,61,49,1,103,1
242,61,33,1,221,1
243,61,59,1,74,1
244,61,44,1,305,1
245,62,42,1,113,6
246,62,43,1,140,6
247,62,56,1,391,6
248,62,12,1,260,6
249,63,34,1,186,5
250,63,52,1,226,5
251,63,48,1,196,5
252,63,46,1,147,5
253,64,24,1,190,5
254,64,29,1,147,5
255,64,12,1,260,5
256,64,48,1,196,5
257,65,18,1,310,6
