CONVERSATION_PROMPT_ID,CONVERSATION_ID,START_TIME,END_TIME,AGENT_CONVERSATION_ID
50344235-086E-A685-E063-37E0000AB753,50343F72-F9AE-9066-E063-37E0000A43DE,2026-04-24T11:42:08.979084Z,2026-04-24T11:42:27.365962Z,
50B08857-FAAD-DC60-E063-37E0000A7A60,50B08696-83A8-C460-E063-37E0000A314A,2026-04-30T15:58:17.216184Z,2026-04-30T15:58:44.509267Z,"[""50B08857-FAA2-DC60-E063-37E0000A7A60"",""50B08857-FAA3-DC60-E063-37E0000A7A60"",""50B08857-FAA6-DC60-E063-37E0000A7A60"",""50B08857-FAAA-DC60-E063-37E0000A7A60"",""50B08857-FAAC-DC60-E063-37E0000A7A60""]"
50B2B238-2CE5-4F66-E063-37E0000ABA11,50B2B22D-DABA-4F5E-E063-37E0000A09F7,2026-04-30T18:33:09.713763Z,2026-04-30T18:33:22.354132Z,"[""50B2B238-2CE3-4F66-E063-37E0000ABA11"",""50B2B238-2CE4-4F66-E063-37E0000ABA11""]"
50A2F62A-EE0C-6EFA-E063-37E0000A29DE,50A2F86F-B9C9-6EF5-E063-37E0000ADF87,2026-04-29T23:47:28.504585Z,2026-04-29T23:47:41.997923Z,"[""50A2F62A-EE0A-6EFA-E063-37E0000A29DE"",""50A2F62A-EE0B-6EFA-E063-37E0000A29DE""]"
50A2F62A-EE24-6EFA-E063-37E0000A29DE,50A2F86F-B9C9-6EF5-E063-37E0000ADF87,2026-04-29T23:52:17.804126Z,2026-04-29T23:53:20.533204Z,"[""50A2F62A-EE11-6EFA-E063-37E0000A29DE"",""50A2F62A-EE12-6EFA-E063-37E0000A29DE"",""50A2F62A-EE13-6EFA-E063-37E0000A29DE"",""50A2F62A-EE15-6EFA-E063-37E0000A29DE"",""50A2F62A-EE17-6EFA-E063-37E0000A29DE"",""50A2F62A-EE19-6EFA-E063-37E0000A29DE"",""50A2F62A-EE1B-6EFA-E063-37E0000A29DE"",""50A2F62A-EE1D-6EFA-E063-37E0000A29DE"",""50A2F62A-EE1F-6EFA-E063-37E0000A29DE"",""50A2F62A-EE21-6EFA-E063-37E0000A29DE"",""50A2F62A-EE23-6EFA-E063-37E0000A29DE""]"
50A2F62A-EE2B-6EFA-E063-37E0000A29DE,50A2F86F-B9C9-6EF5-E063-37E0000ADF87,2026-04-29T23:54:04.021906Z,2026-04-29T23:54:14.748Z,"[""50A2F62A-EE28-6EFA-E063-37E0000A29DE"",""50A2F62A-EE29-6EFA-E063-37E0000A29DE"",""50A2F62A-EE2A-6EFA-E063-37E0000A29DE""]"
50A3C93F-5A59-615A-E063-37E0000A177F,50A3C93F-5A53-615A-E063-37E0000A177F,2026-04-30T00:45:51.836501Z,2026-04-30T00:46:06.068065Z,"[""50A3C93F-5A57-615A-E063-37E0000A177F"",""50A3C93F-5A58-615A-E063-37E0000A177F""]"
50A4541F-79AA-EA36-E063-37E0000AA9CF,50A3C93F-5A53-615A-E063-37E0000A177F,2026-04-30T01:24:41.493915Z,2026-04-30T01:25:02.477005Z,"[""50A4541F-79A2-EA36-E063-37E0000AA9CF"",""50A4541F-79A3-EA36-E063-37E0000AA9CF"",""50A4541F-79A4-EA36-E063-37E0000AA9CF"",""50A4541F-79A6-EA36-E063-37E0000AA9CF"",""50A4541F-79A9-EA36-E063-37E0000AA9CF""]"
50A4541F-79B3-EA36-E063-37E0000AA9CF,50A3C93F-5A53-615A-E063-37E0000A177F,2026-04-30T01:25:14.008178Z,2026-04-30T01:25:24.658836Z,"[""50A4541F-79AE-EA36-E063-37E0000AA9CF"",""50A4541F-79AF-EA36-E063-37E0000AA9CF"",""50A4541F-79B0-EA36-E063-37E0000AA9CF"",""50A4541F-79B2-EA36-E063-37E0000AA9CF""]"
50A4541F-79BA-EA36-E063-37E0000AA9CF,50A3C93F-5A53-615A-E063-37E0000A177F,2026-04-30T01:26:40.368813Z,2026-04-30T01:26:48.754875Z,"[""50A4541F-79B7-EA36-E063-37E0000AA9CF"",""50A4541F-79B8-EA36-E063-37E0000AA9CF"",""50A4541F-79B9-EA36-E063-37E0000AA9CF""]"
50A47597-E38D-EA44-E063-37E0000AA8EB,50A47597-E387-EA44-E063-37E0000AA8EB,2026-04-30T01:34:03.332238Z,2026-04-30T01:34:11.823995Z,"[""50A47597-E38B-EA44-E063-37E0000AA8EB"",""50A47597-E38C-EA44-E063-37E0000AA8EB""]"
50A49116-A4DD-86C2-E063-37E0000A4BB7,50A49114-2AF6-8D73-E063-37E0000AC6E2,2026-04-30T01:41:44.326741Z,2026-04-30T01:41:51.776781Z,"[""50A49116-A4DB-86C2-E063-37E0000A4BB7"",""50A49116-A4DC-86C2-E063-37E0000A4BB7""]"
